[-0.538072, -0.518072] ; [0.907334, 0.927334] ; [1.38445, 1.40445]
[-0.534584, -0.514584] ; [0.907608, 0.927608] ; [1.38393, 1.40393]
[-0.531129, -0.511129] ; [0.907877, 0.927877] ; [1.38341, 1.40341]
[-0.527665, -0.507665] ; [0.908142, 0.928142] ; [1.38288, 1.40288]
[-0.520873, -0.500873] ; [0.908627, 0.928627] ; [1.38183, 1.40183]
[-0.517515, -0.497515] ; [0.908914, 0.928914] ; [1.3813, 1.4013]
[-0.514207, -0.494207] ; [0.909162, 0.929162] ; [1.38081, 1.40081]
[-0.510908, -0.490908] ; [0.909412, 0.929412] ; [1.38029, 1.40029]
[-0.507677, -0.487677] ; [0.90967, 0.92967] ; [1.37981, 1.39981]
[-0.504417, -0.484417] ; [0.909922, 0.929922] ; [1.37927, 1.39927]
[-0.501163, -0.481163] ; [0.910157, 0.930157] ; [1.37873, 1.39873]
[-0.497921, -0.477921] ; [0.910365, 0.930365] ; [1.37821, 1.39821]
[-0.494888, -0.474888] ; [0.910812, 0.930812] ; [1.37781, 1.39781]
[-0.491759, -0.471759] ; [0.911029, 0.931029] ; [1.37731, 1.39731]
[-0.488573, -0.468573] ; [0.911192, 0.931192] ; [1.37676, 1.39676]
[-0.485538, -0.465538] ; [0.911498, 0.931498] ; [1.37634, 1.39634]
[-0.482438, -0.462438] ; [0.911732, 0.931732] ; [1.37588, 1.39588]
[-0.479355, -0.459355] ; [0.911965, 0.931965] ; [1.37535, 1.39535]
[-0.476318, -0.456318] ; [0.912201, 0.932201] ; [1.37489, 1.39489]
[-0.473384, -0.453384] ; [0.912471, 0.932471] ; [1.37447, 1.39447]
[-0.470389, -0.450389] ; [0.912683, 0.932683] ; [1.374, 1.394]
[-0.467372, -0.447372] ; [0.912866, 0.932866] ; [1.37355, 1.39355]
[-0.464406, -0.444406] ; [0.91308, 0.93308] ; [1.37307, 1.39307]
[-0.461498, -0.441498] ; [0.913238, 0.933238] ; [1.37267, 1.39267]
[-0.455633, -0.435633] ; [0.913647, 0.933647] ; [1.37181, 1.39181]
[-0.45275, -0.43275] ; [0.913822, 0.933822] ; [1.37142, 1.39142]
[-0.449876, -0.429876] ; [0.913968, 0.933968] ; [1.371, 1.391]
[-0.446979, -0.426979] ; [0.91417, 0.93417] ; [1.37061, 1.39061]
[-0.444111, -0.424111] ; [0.914317, 0.934317] ; [1.37019, 1.39019]
[-0.441218, -0.421218] ; [0.914509, 0.934509] ; [1.36977, 1.38977]
[-0.4384, -0.4184] ; [0.91457, 0.93457] ; [1.3694, 1.3894]
[-0.435566, -0.415566] ; [0.914722, 0.934722] ; [1.36899, 1.38899]
[-0.432709, -0.412709] ; [0.91487, 0.93487] ; [1.36856, 1.38856]
[-0.429854, -0.409854] ; [0.914941, 0.934941] ; [1.36814, 1.38814]
[-0.42708, -0.40708] ; [0.915035, 0.935035] ; [1.36774, 1.38774]
[-0.424251, -0.404251] ; [0.915151, 0.935151] ; [1.36734, 1.38734]
[-0.421472, -0.401472] ; [0.915216, 0.935216] ; [1.36691, 1.38691]
[-0.418637, -0.398637] ; [0.915298, 0.935298] ; [1.36651, 1.38651]
[-0.415832, -0.395832] ; [0.915361, 0.935361] ; [1.36611, 1.38611]
[-0.413082, -0.393082] ; [0.915354, 0.935354] ; [1.36567, 1.38567]
[-0.410284, -0.390284] ; [0.915409, 0.935409] ; [1.36527, 1.38527]
