[-0.217713, -0.0177128] ; [0.750028, 0.950028] ; [1.22395, 1.42395]
[-0.215231, -0.0152313] ; [0.749637, 0.949637] ; [1.22329, 1.42329]
[-0.212875, -0.0128751] ; [0.749251, 0.949251] ; [1.22265, 1.42265]
[-0.210556, -0.0105556] ; [0.748857, 0.948857] ; [1.22199, 1.42199]
[-0.208334, -0.00833376] ; [0.748464, 0.948464] ; [1.22134, 1.42134]
[-0.206193, -0.00619347] ; [0.748069, 0.948069] ; [1.22069, 1.42069]
[-0.204149, -0.00414946] ; [0.747675, 0.947675] ; [1.22005, 1.42005]
[-0.202264, -0.00226364] ; [0.747277, 0.947277] ; [1.2194, 1.4194]
[-0.200483, -0.000482892] ; [0.746881, 0.946881] ; [1.21876, 1.41876]
[-0.198775, 0.00122523] ; [0.746482, 0.946482] ; [1.21813, 1.41813]
[-0.197152, 0.00284836] ; [0.746081, 0.946081] ; [1.21749, 1.41749]
[-0.195613, 0.00438711] ; [0.74568, 0.94568] ; [1.21686, 1.41686]
[-0.194125, 0.00587542] ; [0.745269, 0.945269] ; [1.21621, 1.41621]
[-0.192789, 0.00721073] ; [0.744876, 0.944876] ; [1.2156, 1.4156]
[-0.191419, 0.00858118] ; [0.744473, 0.944473] ; [1.21497, 1.41497]
[-0.18468, 0.0153197] ; [0.743873, 0.943873] ; [1.2142, 1.4142]
[-0.1781, 0.0219002] ; [0.743277, 0.943277] ; [1.21344, 1.41344]
[-0.171518, 0.0284815] ; [0.742674, 0.942674] ; [1.21268, 1.41268]
[-0.165024, 0.0349756] ; [0.74207, 0.94207] ; [1.21192, 1.41192]
[-0.158624, 0.0413764] ; [0.741465, 0.941465] ; [1.21116, 1.41116]
[-0.152296, 0.0477039] ; [0.74086, 0.94086] ; [1.2104, 1.4104]
[-0.146066, 0.0539342] ; [0.740254, 0.940254] ; [1.20965, 1.40965]
[-0.139896, 0.0601036] ; [0.739646, 0.939646] ; [1.2089, 1.4089]
[-0.133817, 0.0661825] ; [0.739038, 0.939038] ; [1.20815, 1.40815]
[-0.127853, 0.0721466] ; [0.738424, 0.938424] ; [1.20739, 1.40739]
[-0.122016, 0.0779838] ; [0.737814, 0.937814] ; [1.20665, 1.40665]
[-0.116243, 0.083757] ; [0.737202, 0.937202] ; [1.20591, 1.40591]
[-0.110566, 0.0894336] ; [0.736591, 0.936591] ; [1.20517, 1.40517]
[-0.104894, 0.0951065] ; [0.735971, 0.935971] ; [1.20443, 1.40443]
[-0.0993798, 0.10062] ; [0.73536, 0.93536] ; [1.2037, 1.4037]
[-0.0938926, 0.106107] ; [0.734742, 0.934742] ; [1.20296, 1.40296]
[-0.0884998, 0.1115] ; [0.734126, 0.934126] ; [1.20223, 1.40223]
[-0.0831453, 0.116855] ; [0.733505, 0.933505] ; [1.2015, 1.4015]
[-0.0779072, 0.122093] ; [0.732888, 0.932888] ; [1.20077, 1.40077]
